Age,Income,CreditScore,LoanAmount,EmploymentYears,EmploymentType,Education,Married,HomeOwnership,LoanApproved
52.0,7994.0,547.0,10386.0,4.0,Self-employed,PhD,,Own,0
24.0,6890.0,516.0,14021.0,4.0,Unemployed,PhD,Yes,Mortgage,0
37.0,2054.0,617.0,32200.0,23.0,Employed,PhD,No,Own,0
32.0,2396.0,422.0,27311.0,19.0,Self-employed,Bachelor,Yes,Own,0
59.0,9822.0,706.0,15043.0,10.0,Unemployed,High School,No,Own,0
64.0,8578.0,438.0,7330.0,15.0,Self-employed,High School,Yes,Rent,0
19.0,6337.0,555.0,36890.0,8.0,Self-employed,PhD,Yes,Own,0
49.0,4458.0,589.0,31817.0,14.0,Unemployed,Master,Yes,Mortgage,0
28.0,3501.0,439.0,36525.0,22.0,Unemployed,Bachelor,No,Mortgage,0
63.0,7020.0,439.0,9108.0,19.0,Employed,High School,No,Mortgage,0
64.0,9835.0,531.0,16982.0,19.0,Self-employed,Master,No,Rent,0
51.0,7017.0,657.0,13902.0,11.0,Unemployed,,No,Rent,0
43.0,3839.0,489.0,9243.0,5.0,Self-employed,Bachelor,Yes,Own,0
49.0,7387.0,475.0,2430.0,2.0,Employed,Bachelor,Yes,Rent,0
52.0,3090.0,427.0,3597.0,6.0,Self-employed,High School,Yes,Own,0
27.0,7041.0,571.0,5707.0,24.0,Unemployed,PhD,No,Own,0
39.0,9065.0,695.0,4279.0,8.0,Self-employed,Bachelor,No,Mortgage,0
26.0,6303.0,517.0,11404.0,7.0,Unemployed,High School,No,Rent,0
46.0,8030.0,,27142.0,13.0,Unemployed,PhD,Yes,Own,0
52.0,7079.0,530.0,37729.0,13.0,Unemployed,Master,No,Rent,0
45.0,8233.0,447.0,29781.0,3.0,Self-employed,Bachelor,No,Rent,0
61.0,4919.0,485.0,11876.0,3.0,Employed,Master,No,Mortgage,0
21.0,2640.0,453.0,16759.0,12.0,Unemployed,Bachelor,No,Rent,0
62.0,2944.0,507.0,31509.0,13.0,Employed,High School,No,Rent,0
43.0,7356.0,488.0,14019.0,20.0,Employed,Bachelor,Yes,Mortgage,0
61.0,1852.0,608.0,39715.0,5.0,Employed,Bachelor,No,Rent,0
58.0,7057.0,496.0,28763.0,6.0,Self-employed,PhD,No,Mortgage,0
55.0,2794.0,457.0,9139.0,2.0,Self-employed,PhD,Yes,Rent,0
31.0,9207.0,426.0,22534.0,22.0,Employed,High School,No,Own,0
31.0,3826.0,652.0,27508.0,17.0,Self-employed,Bachelor,No,Mortgage,0
45.0,8049.0,561.0,34450.0,0.0,Unemployed,Bachelor,Yes,Mortgage,0
46.0,3232.0,668.0,20944.0,4.0,Unemployed,Bachelor,Yes,Own,0
19.0,8236.0,459.0,12855.0,17.0,Unemployed,Bachelor,Yes,Mortgage,0
59.0,7114.0,571.0,30701.0,8.0,Employed,High School,No,Rent,0
53.0,3988.0,520.0,24530.0,12.0,Unemployed,Master,No,Own,0
30.0,3276.0,447.0,14078.0,3.0,,High School,Yes,Own,0
48.0,3973.0,583.0,33252.0,24.0,Employed,PhD,Yes,Own,0
42.0,7992.0,562.0,39387.0,17.0,Employed,High School,Yes,Rent,0
18.0,3561.0,473.0,27613.0,1.0,Employed,High School,No,Mortgage,0
25.0,7632.0,568.0,13696.0,23.0,Employed,Master,No,Mortgage,0
63.0,6516.0,445.0,9788.0,24.0,Self-employed,High School,Yes,Rent,0
57.0,3916.0,570.0,18173.0,13.0,Unemployed,Bachelor,Yes,Own,0
,6653.0,556.0,19305.0,4.0,Unemployed,Master,No,Own,0
30.0,8179.0,503.0,29333.0,1.0,Employed,PhD,No,Rent,0
,8850.0,424.0,7764.0,15.0,Self-employed,Bachelor,Yes,Mortgage,0
23.0,1745.0,438.0,29012.0,21.0,Self-employed,Bachelor,Yes,Mortgage,0
31.0,7138.0,425.0,21286.0,24.0,Unemployed,Bachelor,No,Own,0
23.0,1778.0,506.0,4455.0,0.0,Employed,High School,No,Rent,0
35.0,4594.0,594.0,26724.0,9.0,Employed,Bachelor,No,Rent,0
63.0,4482.0,436.0,25153.0,15.0,Employed,Bachelor,Yes,Mortgage,0
24.0,4942.0,505.0,4189.0,5.0,Employed,Bachelor,No,Rent,0
61.0,9363.0,496.0,2263.0,7.0,Self-employed,High School,,Own,0
55.0,8034.0,423.0,35452.0,15.0,Unemployed,High School,Yes,Rent,0
61.0,8271.0,427.0,10840.0,13.0,Employed,Bachelor,Yes,Rent,0
62.0,4082.0,694.0,27619.0,15.0,Employed,High School,No,Rent,0
42.0,7276.0,420.0,10652.0,11.0,Self-employed,High School,No,Rent,0
,5061.0,432.0,33835.0,9.0,Employed,Master,No,Own,0
36.0,3751.0,619.0,9413.0,22.0,Unemployed,High School,No,Mortgage,0
41.0,5094.0,587.0,11101.0,12.0,Self-employed,Master,No,Rent,0
49.0,9609.0,479.0,18568.0,1.0,Unemployed,Bachelor,Yes,Own,0
33.0,4101.0,481.0,3362.0,19.0,Unemployed,PhD,No,Rent,0
49.0,5117.0,,20787.0,18.0,Unemployed,PhD,No,Own,0
19.0,7899.0,469.0,2794.0,22.0,Unemployed,PhD,No,Rent,0
26.0,9764.0,595.0,29292.0,19.0,Employed,Master,No,Mortgage,0
21.0,3416.0,645.0,8345.0,10.0,Employed,Bachelor,Yes,Mortgage,0
42.0,1791.0,420.0,3813.0,,Self-employed,High School,Yes,Rent,0
28.0,5013.0,447.0,18455.0,19.0,Employed,Bachelor,No,Own,0
22.0,5584.0,450.0,20860.0,,Self-employed,Master,No,Rent,0
37.0,9289.0,467.0,5949.0,4.0,Unemployed,Master,No,Mortgage,0
57.0,3908.0,490.0,3189.0,0.0,Self-employed,Bachelor,No,Rent,0
56.0,2531.0,606.0,4410.0,23.0,Self-employed,Master,Yes,Mortgage,0
48.0,3724.0,632.0,16685.0,11.0,Unemployed,Bachelor,Yes,Mortgage,0
37.0,4402.0,669.0,15237.0,1.0,Self-employed,High School,Yes,Mortgage,0
53.0,4640.0,532.0,32506.0,15.0,Self-employed,High School,No,Mortgage,0
27.0,9618.0,481.0,2525.0,23.0,Employed,Bachelor,Yes,Mortgage,0
29.0,1829.0,445.0,8096.0,13.0,Self-employed,High School,No,Mortgage,0
39.0,4135.0,498.0,36184.0,5.0,Self-employed,PhD,Yes,Mortgage,0
32.0,9661.0,530.0,9554.0,1.0,Employed,Master,No,Rent,0
47.0,3639.0,692.0,26706.0,2.0,Unemployed,Master,No,Rent,0
30.0,9356.0,529.0,25880.0,23.0,Unemployed,Master,Yes,Mortgage,0
42.0,3562.0,498.0,9407.0,12.0,Unemployed,Master,Yes,Rent,0
55.0,5354.0,425.0,34608.0,20.0,Self-employed,Bachelor,No,Mortgage,0
40.0,8775.0,520.0,26952.0,,Employed,High School,No,Rent,0
52.0,2418.0,547.0,12677.0,3.0,Self-employed,Bachelor,No,Mortgage,0
57.0,6374.0,572.0,8558.0,11.0,Employed,Bachelor,No,Mortgage,0
42.0,7337.0,484.0,,3.0,Unemployed,Master,Yes,Rent,0
28.0,3563.0,434.0,21400.0,13.0,Self-employed,PhD,Yes,Rent,0
50.0,4827.0,498.0,25914.0,4.0,Self-employed,Bachelor,Yes,Own,0
47.0,1927.0,558.0,1329.0,13.0,Unemployed,Bachelor,No,Own,0
50.0,7702.0,587.0,25169.0,16.0,Unemployed,PhD,No,Rent,0
30.0,6818.0,432.0,31428.0,24.0,Employed,High School,No,Own,0
58.0,2905.0,523.0,18469.0,11.0,Self-employed,Master,No,Mortgage,0
28.0,3760.0,545.0,17185.0,8.0,Self-employed,Bachelor,Yes,Mortgage,0
35.0,7420.0,457.0,12132.0,6.0,Employed,High School,Yes,Mortgage,0
40.0,5795.0,613.0,21524.0,19.0,Unemployed,Bachelor,No,Rent,0
42.0,3417.0,429.0,33207.0,3.0,Self-employed,High School,No,Own,0
55.0,2847.0,467.0,31086.0,10.0,Self-employed,Master,Yes,Own,0
56.0,5253.0,471.0,25559.0,20.0,Unemployed,Bachelor,Yes,Mortgage,0
,5410.0,452.0,34457.0,0.0,Employed,High School,No,Mortgage,0
29.0,7403.0,515.0,8144.0,11.0,Self-employed,Master,No,Mortgage,0
56.0,5084.0,699.0,23631.0,5.0,Employed,Master,No,Own,0
62.0,2860.0,601.0,30819.0,20.0,Employed,High School,Yes,,0
56.0,4074.0,534.0,13020.0,17.0,Unemployed,PhD,Yes,Mortgage,0
63.0,3784.0,515.0,15683.0,0.0,Employed,Bachelor,No,Rent,0
47.0,6773.0,479.0,6724.0,5.0,Employed,Bachelor,Yes,Mortgage,0
49.0,8734.0,495.0,2188.0,5.0,Unemployed,Master,Yes,Own,0
39.0,6235.0,509.0,16624.0,1.0,Unemployed,High School,Yes,Rent,0
55.0,5422.0,508.0,35475.0,8.0,Self-employed,PhD,No,Own,0
40.0,4328.0,588.0,35059.0,23.0,Unemployed,Master,No,Rent,0
22.0,3717.0,548.0,1439.0,21.0,Self-employed,Master,Yes,Own,0
31.0,6169.0,578.0,37699.0,15.0,Self-employed,Bachelor,Yes,Mortgage,0
31.0,5136.0,472.0,21353.0,15.0,Employed,Master,No,Mortgage,0
59.0,8111.0,600.0,2409.0,4.0,Self-employed,PhD,Yes,Mortgage,0
51.0,9668.0,502.0,18909.0,19.0,Employed,Master,No,Rent,0
22.0,9484.0,488.0,6054.0,13.0,Self-employed,Master,Yes,Rent,0
40.0,1696.0,704.0,34991.0,8.0,Self-employed,Master,Yes,Own,0
54.0,5642.0,693.0,37729.0,13.0,Employed,High School,No,Rent,0
35.0,9230.0,440.0,2834.0,2.0,Unemployed,High School,Yes,Own,0
45.0,9490.0,476.0,1568.0,14.0,Employed,Bachelor,Yes,Own,0
55.0,1966.0,477.0,25046.0,16.0,Unemployed,High School,No,Own,0
30.0,4192.0,549.0,39791.0,17.0,Self-employed,Master,No,Mortgage,0
30.0,9205.0,506.0,9306.0,15.0,Employed,Bachelor,Yes,Own,0
30.0,9060.0,541.0,23083.0,0.0,Unemployed,Master,Yes,Own,0
57.0,2146.0,703.0,22978.0,8.0,Employed,Master,Yes,Own,0
21.0,8043.0,429.0,34318.0,18.0,Self-employed,Bachelor,Yes,Own,0
21.0,5866.0,490.0,10079.0,1.0,Unemployed,PhD,No,Own,0
63.0,7554.0,552.0,27288.0,1.0,Self-employed,High School,No,Mortgage,0
35.0,4461.0,576.0,3302.0,8.0,Self-employed,High School,No,Mortgage,0
39.0,9147.0,522.0,30048.0,22.0,Unemployed,Master,No,Mortgage,0
50.0,3288.0,,12572.0,10.0,Employed,High School,No,Own,0
24.0,8282.0,490.0,26072.0,2.0,Unemployed,PhD,No,Rent,0
19.0,3553.0,501.0,3180.0,2.0,Employed,PhD,Yes,Own,0
47.0,4123.0,497.0,8912.0,1.0,Unemployed,High School,Yes,Mortgage,0
50.0,7035.0,660.0,35175.0,8.0,Unemployed,Master,No,Own,0
53.0,9799.0,518.0,19379.0,23.0,Self-employed,Master,No,Own,0
49.0,5360.0,502.0,4444.0,17.0,Self-employed,High School,Yes,Mortgage,0
33.0,2361.0,537.0,12155.0,22.0,Employed,Master,Yes,Rent,0
37.0,8448.0,693.0,31074.0,20.0,Employed,Master,,Own,0
,,613.0,26193.0,5.0,Unemployed,PhD,Yes,Mortgage,0
27.0,8284.0,526.0,33285.0,13.0,Employed,High School,Yes,Own,0
,1749.0,602.0,33109.0,4.0,Unemployed,High School,Yes,Mortgage,0
36.0,5703.0,460.0,23917.0,5.0,Unemployed,PhD,No,Rent,0
49.0,3328.0,476.0,19299.0,14.0,Self-employed,Bachelor,No,Mortgage,0
56.0,2054.0,690.0,30209.0,,Unemployed,Master,No,Mortgage,0
62.0,5225.0,557.0,13210.0,6.0,Self-employed,Master,Yes,Own,0
30.0,5427.0,732.0,22091.0,13.0,Unemployed,PhD,Yes,Mortgage,0
18.0,8318.0,447.0,39368.0,3.0,Self-employed,Bachelor,No,Mortgage,0
29.0,3163.0,542.0,21629.0,13.0,Unemployed,High School,Yes,Mortgage,0
19.0,2795.0,445.0,,15.0,Unemployed,Bachelor,No,Rent,0
30.0,3454.0,605.0,28071.0,1.0,,,No,Rent,0
64.0,7929.0,531.0,16385.0,6.0,Unemployed,Bachelor,Yes,Own,0
54.0,2969.0,449.0,22716.0,2.0,Self-employed,High School,No,Rent,0
28.0,8645.0,468.0,5778.0,23.0,Employed,Master,No,Mortgage,0
33.0,7267.0,639.0,28485.0,1.0,Self-employed,PhD,Yes,Mortgage,0
49.0,3609.0,431.0,17994.0,4.0,Employed,PhD,No,Own,0
60.0,2530.0,516.0,26754.0,20.0,Self-employed,Bachelor,No,Mortgage,0
37.0,2659.0,492.0,27412.0,3.0,Unemployed,Bachelor,Yes,Own,0
53.0,7737.0,429.0,10442.0,15.0,Unemployed,Master,No,Rent,0
32.0,1552.0,602.0,29538.0,0.0,Employed,Master,No,Rent,0
26.0,6258.0,445.0,11649.0,11.0,Employed,PhD,No,Own,0
21.0,9606.0,442.0,4958.0,5.0,Unemployed,PhD,No,Rent,0
41.0,7902.0,622.0,33969.0,24.0,Self-employed,PhD,No,Rent,0
18.0,7604.0,428.0,1773.0,22.0,Employed,Bachelor,Yes,Own,0
,6767.0,578.0,30692.0,10.0,Self-employed,PhD,No,Mortgage,0
41.0,6811.0,550.0,38170.0,14.0,Employed,Master,No,Rent,0
40.0,1619.0,470.0,1152.0,1.0,Unemployed,High School,Yes,Own,0
39.0,2323.0,614.0,4379.0,18.0,Self-employed,Master,Yes,Mortgage,0
60.0,5564.0,690.0,4320.0,4.0,Employed,Master,No,Own,1
47.0,4010.0,720.0,25799.0,0.0,Employed,High School,No,Mortgage,1
47.0,1833.0,709.0,4236.0,17.0,Unemployed,Bachelor,Yes,Mortgage,1
63.0,7900.0,750.0,17008.0,11.0,Unemployed,Bachelor,Yes,Mortgage,1
34.0,5433.0,715.0,17365.0,21.0,Unemployed,Bachelor,No,Mortgage,1
48.0,7692.0,721.0,17445.0,7.0,Employed,High School,Yes,Own,1
53.0,8072.0,804.0,18662.0,11.0,Employed,High School,Yes,Rent,1
46.0,1979.0,724.0,20653.0,12.0,Self-employed,PhD,Yes,Own,1
34.0,7981.0,782.0,2692.0,9.0,Employed,High School,No,Rent,1
48.0,3316.0,664.0,,21.0,Self-employed,Bachelor,No,Mortgage,1
29.0,9943.0,769.0,31257.0,1.0,Unemployed,Bachelor,No,Rent,1
21.0,5624.0,610.0,8130.0,1.0,Self-employed,Master,Yes,Own,1
25.0,4935.0,582.0,24242.0,3.0,Unemployed,High School,No,Own,1
46.0,9244.0,843.0,4884.0,0.0,Unemployed,Bachelor,Yes,Rent,1
45.0,7011.0,824.0,24341.0,0.0,Employed,PhD,Yes,Mortgage,1
24.0,7446.0,775.0,32960.0,4.0,Unemployed,PhD,Yes,Mortgage,1
21.0,6178.0,795.0,39147.0,1.0,Unemployed,High School,No,Rent,1
54.0,1536.0,613.0,11066.0,15.0,Unemployed,PhD,Yes,Mortgage,1
53.0,9907.0,711.0,27402.0,12.0,,Bachelor,No,Mortgage,1
44.0,4373.0,826.0,15515.0,1.0,Self-employed,High School,Yes,Mortgage,1
38.0,6931.0,637.0,14323.0,1.0,Self-employed,Bachelor,Yes,Rent,1
20.0,5777.0,515.0,26985.0,8.0,Self-employed,PhD,Yes,Mortgage,1
37.0,5696.0,649.0,27272.0,8.0,Unemployed,PhD,Yes,Own,1
52.0,2563.0,788.0,21098.0,3.0,Unemployed,Bachelor,Yes,Mortgage,1
45.0,6487.0,665.0,31671.0,9.0,Self-employed,High School,Yes,Mortgage,1
23.0,2120.0,744.0,28525.0,17.0,Employed,PhD,Yes,Mortgage,1
50.0,8275.0,807.0,7033.0,13.0,Unemployed,High School,No,Own,1
23.0,8336.0,806.0,20357.0,10.0,Self-employed,Bachelor,Yes,Mortgage,1
33.0,5964.0,672.0,6947.0,23.0,Unemployed,Master,Yes,Own,1
26.0,8405.0,815.0,7974.0,17.0,Unemployed,Master,No,Mortgage,1
36.0,6142.0,657.0,22438.0,23.0,Self-employed,PhD,No,Own,1
31.0,6906.0,697.0,6358.0,24.0,Employed,High School,No,Mortgage,1
45.0,9362.0,769.0,4409.0,12.0,,Bachelor,Yes,Mortgage,1
23.0,2390.0,818.0,26557.0,17.0,Unemployed,Master,No,Rent,1
45.0,4396.0,595.0,18243.0,12.0,Unemployed,PhD,Yes,Mortgage,1
50.0,7662.0,831.0,21534.0,16.0,Employed,Master,No,Rent,1
64.0,7606.0,717.0,10586.0,8.0,Employed,Bachelor,No,Mortgage,1
32.0,1914.0,619.0,25959.0,14.0,Unemployed,High School,Yes,Rent,1
32.0,4455.0,845.0,3927.0,22.0,Self-employed,High School,No,Rent,1
63.0,5837.0,794.0,13567.0,11.0,Unemployed,Master,No,Rent,1
42.0,8198.0,830.0,26739.0,11.0,Employed,Bachelor,Yes,Mortgage,1
40.0,8747.0,799.0,24235.0,9.0,Employed,Bachelor,Yes,Own,1
40.0,6951.0,654.0,,18.0,Employed,Master,No,Rent,1
53.0,2354.0,791.0,38705.0,16.0,Self-employed,Bachelor,Yes,Own,1
54.0,7471.0,777.0,28609.0,19.0,Employed,Bachelor,No,Mortgage,1
54.0,2019.0,613.0,18456.0,23.0,Employed,PhD,Yes,,1
31.0,3943.0,682.0,23977.0,24.0,Unemployed,PhD,Yes,Own,1
20.0,4352.0,601.0,35140.0,5.0,Employed,Master,No,Mortgage,1
24.0,9603.0,811.0,6376.0,17.0,Employed,Bachelor,No,Own,1
46.0,3278.0,738.0,,24.0,Unemployed,Master,Yes,Rent,1
19.0,8429.0,779.0,26167.0,10.0,Self-employed,High School,Yes,Mortgage,1
34.0,3311.0,696.0,14924.0,7.0,Unemployed,High School,Yes,Mortgage,1
33.0,4820.0,632.0,39419.0,2.0,Employed,High School,No,Own,1
45.0,4603.0,731.0,4819.0,4.0,Unemployed,High School,No,Own,1
18.0,1990.0,805.0,21620.0,3.0,Self-employed,Bachelor,Yes,Own,1
39.0,5555.0,683.0,20708.0,15.0,Self-employed,Bachelor,Yes,Rent,1
44.0,6965.0,619.0,15689.0,10.0,Unemployed,PhD,No,Mortgage,1
40.0,1642.0,703.0,3557.0,15.0,Self-employed,PhD,Yes,Own,1
58.0,2510.0,748.0,13657.0,19.0,Self-employed,Master,Yes,Own,1
45.0,3688.0,647.0,35958.0,23.0,Self-employed,PhD,No,Own,1
54.0,3717.0,622.0,4122.0,10.0,Unemployed,Master,No,Mortgage,1
49.0,2543.0,762.0,18111.0,23.0,Employed,High School,No,Mortgage,1
21.0,7356.0,610.0,24213.0,24.0,Employed,PhD,Yes,Rent,1
59.0,6938.0,821.0,35613.0,17.0,Unemployed,PhD,No,Rent,1
44.0,7856.0,737.0,7599.0,12.0,Employed,High School,Yes,Own,1
52.0,2808.0,740.0,26942.0,12.0,Self-employed,Master,Yes,Mortgage,1
28.0,9979.0,717.0,15981.0,10.0,Self-employed,High School,Yes,Rent,1
18.0,6407.0,755.0,16953.0,20.0,Self-employed,PhD,No,Own,1
57.0,3998.0,728.0,26787.0,22.0,Unemployed,Master,No,Rent,1
57.0,6925.0,801.0,5533.0,19.0,Employed,High School,Yes,Own,1
,2161.0,552.0,11330.0,19.0,Employed,Master,No,Mortgage,1
58.0,8200.0,669.0,2652.0,24.0,Employed,High School,No,Rent,1
39.0,6402.0,679.0,17485.0,18.0,Unemployed,Bachelor,No,Rent,1
51.0,8427.0,745.0,11291.0,15.0,Unemployed,High School,Yes,Own,1
36.0,7948.0,839.0,23573.0,3.0,Self-employed,High School,No,Own,1
20.0,2122.0,801.0,13945.0,10.0,Employed,Bachelor,No,Mortgage,1
62.0,8365.0,754.0,16138.0,14.0,Unemployed,High School,Yes,Own,1
54.0,9747.0,512.0,12530.0,20.0,Self-employed,Master,No,Rent,1
41.0,9804.0,593.0,17229.0,8.0,Unemployed,High School,Yes,Mortgage,1
42.0,4638.0,632.0,33324.0,10.0,Self-employed,Master,Yes,Rent,1
49.0,3647.0,671.0,6068.0,24.0,Unemployed,PhD,Yes,Mortgage,1
54.0,9103.0,818.0,32388.0,19.0,Self-employed,PhD,Yes,Own,1
42.0,9281.0,570.0,36985.0,18.0,Unemployed,Bachelor,No,Mortgage,1
45.0,7631.0,799.0,13071.0,16.0,Self-employed,Bachelor,No,Own,1
21.0,3055.0,668.0,6276.0,22.0,Employed,High School,No,Rent,1
60.0,4812.0,703.0,23127.0,23.0,Self-employed,Bachelor,No,Mortgage,1
18.0,3461.0,842.0,28780.0,18.0,Self-employed,High School,Yes,Rent,1
51.0,6614.0,742.0,36138.0,20.0,Employed,Master,Yes,Own,1
45.0,1987.0,621.0,10367.0,17.0,Employed,PhD,Yes,Own,1
45.0,4249.0,590.0,5581.0,12.0,Unemployed,Bachelor,No,Rent,1
56.0,2469.0,753.0,3901.0,14.0,Employed,Bachelor,Yes,Mortgage,1
27.0,1632.0,494.0,28509.0,19.0,Self-employed,Master,Yes,Rent,1
46.0,5904.0,699.0,8973.0,8.0,Self-employed,Master,Yes,Rent,1
27.0,9595.0,720.0,13199.0,15.0,Self-employed,High School,Yes,Own,1
